iso_o,iso_d,tariff
NZL,IND,0.200000003
NZL,IRL,0.050000001
NZL,ITA,0.059999999
NZL,JPN,0.109999999
NZL,KOR,0.209999993
NZL,MEX,0.370000005
NZL,MYS,0.029999999
NZL,NOR,0.600000024
NZL,NZL,0
NZL,PHL,0.050000001
NZL,POL,0.159999996
NZL,PRT,0.090000004
NZL,SGP,0
NZL,SWE,0.07
NZL,THA,0.129999995
NZL,TUR,0.02
NZL,TWN,0.140000001
NZL,USA,0.079999998
PHL,ARG,0.090000004
PHL,AUS,0.029999999
PHL,AUT,0.01
PHL,BEL,0.01
PHL,BRA,0.039999999
PHL,CAN,0.029999999
PHL,CHE,0
PHL,CHL,0.059999999
PHL,CHN,0.02
PHL,DEU,0.01
PHL,DNK,0.02
PHL,ESP,0.02
PHL,FIN,0.01
PHL,FRA,0.02
PHL,GBR,0.01
PHL,GRC,0.029999999
PHL,HUN,0
PHL,IDN,0.01
PHL,IND,0.109999999
PHL,IRL,0
PHL,ITA,0.02
PHL,JPN,0.01
PHL,KOR,0.02
PHL,MEX,0.039999999
PHL,MYS,0.01
PHL,NOR,0.02
PHL,NZL,0.029999999
PHL,PHL,0
PHL,POL,0.01
PHL,PRT,0.01
PHL,SGP,0
PHL,SWE,0.01
PHL,THA,0.07
PHL,TUR,0.01
PHL,TWN,0.01
PHL,USA,0.029999999
POL,ARG,0.129999995
POL,AUS,0.079999998
POL,AUT,0
POL,BEL,0
POL,BRA,0.100000001
POL,CAN,0.039999999
POL,CHE,0.100000001
POL,CHL,0
POL,CHN,0.059999999
POL,DEU,0
POL,DNK,0
POL,ESP,0
POL,FIN,0
POL,FRA,0
POL,GBR,0
POL,GRC,0
POL,HUN,0
POL,IDN,0.02
POL,IND,0.129999995
POL,IRL,0
POL,ITA,0
POL,JPN,0.02
POL,KOR,0.090000004
POL,MEX,0.129999995
POL,MYS,0.090000004
POL,NOR,0.01
POL,NZL,0.07
POL,PHL,0.050000001
POL,POL,0
POL,PRT,0
POL,SGP,0
POL,SWE,0
POL,THA,0.129999995
POL,TUR,0.01
POL,TWN,0.029999999
POL,USA,0.029999999
PRT,ARG,0.07
PRT,AUS,0.039999999
PRT,AUT,0
PRT,BEL,0
PRT,BRA,0.129999995
PRT,CAN,0.059999999
PRT,CHE,0.02
PRT,CHL,0
PRT,CHN,0.039999999
PRT,DEU,0
PRT,DNK,0
PRT,ESP,0
PRT,FIN,0
PRT,FRA,0
PRT,GBR,0
PRT,GRC,0
PRT,HUN,0
PRT,IDN,0.050000001
PRT,IND,0.150000006
PRT,IRL,0
PRT,ITA,0
PRT,JPN,0.050000001
PRT,KOR,0.059999999
PRT,MEX,0.029999999
PRT,MYS,0.01
PRT,NOR,0
PRT,NZL,0.039999999
PRT,PHL,0.050000001
PRT,POL,0
PRT,PRT,0
PRT,SGP,0
PRT,SWE,0
PRT,THA,0.159999996
PRT,TUR,0.01
PRT,TWN,0.050000001
PRT,USA,0.029999999
SGP,ARG,0.02
SGP,AUS,0.01
SGP,AUT,0.01
SGP,BEL,0.02
SGP,BRA,0.100000001
SGP,CAN,0.02
SGP,CHE,0
SGP,CHL,0.059999999
SGP,CHN,0.029999999
SGP,DEU,0
SGP,DNK,0.01
SGP,ESP,0.02
SGP,FIN,0.02
SGP,FRA,0.01
SGP,GBR,0.01
SGP,GRC,0.02
SGP,HUN,0.01
SGP,IDN,0.02
SGP,IND,0.100000001
SGP,IRL,0.01
SGP,ITA,0.02
SGP,JPN,0.01
SGP,KOR,0.02
SGP,MEX,0.050000001
SGP,MYS,0.02
SGP,NOR,0
SGP,NZL,0
SGP,PHL,0.01
SGP,POL,0.01
SGP,PRT,0.02
SGP,SGP,0
SGP,SWE,0.02
SGP,THA,0.039999999
SGP,TUR,0.029999999
SGP,TWN,0.02
SGP,USA,0.01
SWE,ARG,0.100000001
SWE,AUS,0.039999999
SWE,AUT,0
SWE,BEL,0
SWE,BRA,0.129999995
SWE,CAN,0.02
SWE,CHE,0.01
SWE,CHL,0
SWE,CHN,0.059999999
SWE,DEU,0
SWE,DNK,0
SWE,ESP,0
SWE,FIN,0
SWE,FRA,0
SWE,GBR,0
SWE,GRC,0
SWE,HUN,0
SWE,IDN,0.039999999
SWE,IND,0.100000001
SWE,IRL,0
SWE,ITA,0
SWE,JPN,0.01
SWE,KOR,0.059999999
SWE,MEX,0.039999999
SWE,MYS,0.109999999
SWE,NOR,0.01
SWE,NZL,0.039999999
SWE,PHL,0.039999999
