iso_o,iso_d,xtr2001
ITA,CHE,8132.732291
ITA,CHL,433.775178
ITA,CHN,3739.597438
ITA,DEU,33459.62492
ITA,DNK,1829.09494
ITA,ESP,13488.72027
ITA,FIN,1136.288385
ITA,FRA,28155.09487
ITA,GBR,15607.72059
ITA,GRC,4356.126347
ITA,HUN,2610.784264
ITA,IDN,447.538012
ITA,IND,854.325865
ITA,IRL,1394.968681
ITA,ITA,674367.8125
ITA,JPN,5209.087627
ITA,KOR,1801.310968
ITA,MEX,2069.546316
ITA,MYS,988.07649
ITA,NOR,1043.757999
ITA,NZL,300.736479
ITA,PHL,227.55536
ITA,POL,3989.659326
ITA,PRT,3138.562319
ITA,SGP,1464.64246
ITA,SWE,2143.431148
ITA,THA,649.468165
ITA,TUR,3443.303235
ITA,TWN,1005.759155
ITA,USA,23572.94945
JPN,ARG,765.709828
JPN,AUS,7449.135517
JPN,AUT,1573.438702
JPN,BEL,5083.254596
JPN,BRA,3021.987085
JPN,CAN,9409.869274
JPN,CHE,2011.419047
JPN,CHL,545.793851
JPN,CHN,42082.22408
JPN,DEU,20209.53649
JPN,DNK,612.53168
JPN,ESP,3871.30319
JPN,FIN,1377.706323
JPN,FRA,9820.313745
JPN,GBR,13246.08973
JPN,GRC,867.706304
JPN,HUN,1541.457123
JPN,IDN,6201.070444
JPN,IND,1794.052471
JPN,IRL,1659.821823
JPN,ITA,5589.894074
JPN,JPN,2147216.75
JPN,KOR,25620.85292
JPN,MEX,7830.840415
JPN,MYS,13828.80121
JPN,NOR,1223.416756
JPN,NZL,1451.468635
JPN,PHL,7693.820139
JPN,POL,958.484494
JPN,PRT,728.737162
JPN,SGP,15839.16805
JPN,SWE,1426.863406
JPN,THA,13577.67563
JPN,TUR,1312.99089
JPN,TWN,32320.22852
JPN,USA,124948.6546
KOR,ARG,409.337094
KOR,AUS,2260.824304
KOR,AUT,339.924044
KOR,BEL,767.477625
KOR,BRA,1528.503397
KOR,CAN,2889.798751
KOR,CHE,436.238852
KOR,CHL,523.865626
KOR,CHN,21232.76774
KOR,DEU,4323.712577
KOR,DNK,313.299997
KOR,ESP,1802.149272
